,region,model,alpha,mean_score
0,V1,10,1000,0.12244751250346685
1,V2,10,1000,0.09613392068719062
2,V3,10,10000,0.07812994630700013
3,V4,10,10000,0.06588868799503626
4,V1,100,10000,0.17943377372960778
5,V2,100,10000,0.1494493195734937
6,V3,100,10000,0.12146809179122871
7,V4,100,10000,0.09976127101252306
8,V1,1000,100000,0.22964857749214312
9,V2,1000,100000,0.19827538012465215
10,V3,1000,100000,0.16445438799548906
11,V4,1000,100000,0.13402783998412918
12,V1,10000,100000,0.2635769000746839
13,V2,10000,100000,0.2271630910753193
14,V3,10000,100000,0.1864779214079769
15,V4,10000,100000,0.15001627910968138
16,V1,100000,1000000,0.2700517826760462
17,V2,100000,1000000,0.2336748348566134
18,V3,100000,1000000,0.19350371665662222
19,V4,100000,1000000,0.15720375996745106
