,region,dataset,model,smallest model score,largest model score,largest/smallest ratio
0,V4,majajhong,fully_connected,0.21111852069944143,0.3059377947449684,1.4491281661665123
1,IT,majajhong,fully_connected,0.16659789000824093,0.23878085518628359,1.4332765869632085
2,ventral visual stream,naturalscenes,fully_connected,0.08403640891937539,0.11250489397952333,1.3387637028548023
3,midventral visual stream,naturalscenes,fully_connected,0.08344866721099242,0.11566964587755502,1.3861173550572685
4,ventral visual stream,naturalscenes,fully_connected,0.08403640891937539,0.11250489397952333,1.3387637028548023
0,V4,majajhong,expansion,0.33359968197345735,0.5903772695362568,1.7697177228820913
1,IT,majajhong,expansion,0.3040356685593724,0.5587453012317419,1.837762338475854
2,ventral visual stream,naturalscenes,expansion,0.1165941392891109,0.2549196903388947,2.1863851124350853
3,midventral visual stream,naturalscenes,expansion,0.1658792966371402,0.2743377688359469,1.6538397159716611
4,ventral visual stream,naturalscenes,expansion,0.1165941392891109,0.2549196903388947,2.1863851124350853
