,model,features,pcs,init_type,nl_type,score,lower,upper
0,expansion,3,False,kaiming_uniform,relu,tensor(0.3196),0.30296140909194946,0.33624231815338135
1,expansion,3,False,kaiming_normal,relu,tensor(0.2601),0.24249696731567383,0.27886366844177246
2,expansion,3,False,xavier_uniform,relu,tensor(0.2564),0.2395111322402954,0.2732601761817932
3,expansion,3,False,xavier_normal,relu,tensor(0.2789),0.2611336410045624,0.2960761487483978
4,expansion,3,False,orthogonal,relu,tensor(0.2986),0.2810401916503906,0.31591367721557617
5,expansion,30,False,kaiming_uniform,relu,tensor(0.4274),0.4122520089149475,0.44328755140304565
6,expansion,30,False,kaiming_normal,relu,tensor(0.4495),0.4349142611026764,0.4645639657974243
7,expansion,30,False,xavier_uniform,relu,tensor(0.4579),0.44372493028640747,0.4726685881614685
8,expansion,30,False,xavier_normal,relu,tensor(0.4462),0.43199241161346436,0.46153733134269714
9,expansion,30,False,orthogonal,relu,tensor(0.4347),0.41942381858825684,0.4504912197589874
10,expansion,300,False,kaiming_uniform,relu,tensor(0.5150),0.5013190507888794,0.5295265913009644
11,expansion,300,False,kaiming_normal,relu,tensor(0.5141),0.5006593465805054,0.5275974273681641
12,expansion,300,False,xavier_uniform,relu,tensor(0.5147),0.5013312101364136,0.528384804725647
13,expansion,300,False,xavier_normal,relu,tensor(0.5119),0.4987332820892334,0.5265777111053467
14,expansion,300,False,orthogonal,relu,tensor(0.5203),0.5072300434112549,0.5337213277816772
15,expansion,3000,False,kaiming_uniform,relu,tensor(0.5541),0.5408015251159668,0.5670723915100098
16,expansion,3000,False,kaiming_normal,relu,tensor(0.5587),0.545828640460968,0.5713995099067688
17,expansion,3000,False,xavier_uniform,relu,tensor(0.5561),0.5434119701385498,0.5688409209251404
18,expansion,3000,False,xavier_normal,relu,tensor(0.5550),0.541900634765625,0.5682228803634644
19,expansion,3000,False,orthogonal,relu,tensor(0.5580),0.5453394651412964,0.5714417695999146
20,expansion,30000,False,kaiming_uniform,relu,tensor(0.5657),0.5529505014419556,0.578388512134552
21,expansion,30000,False,kaiming_normal,relu,tensor(0.5640),0.5517157316207886,0.5767315626144409
22,expansion,30000,False,xavier_uniform,relu,tensor(0.5651),0.5526087284088135,0.578001081943512
23,expansion,30000,False,xavier_normal,relu,tensor(0.5638),0.5511358976364136,0.5763753652572632
24,expansion,30000,False,orthogonal,relu,tensor(0.5637),0.5512745380401611,0.5761845111846924
