,model,features,pcs,init_type,nl_type,score,lower,upper
0,expansion,3,False,kaiming_uniform,relu,tensor(0.0787),0.07108968496322632,0.08636690676212311
1,expansion,3,False,kaiming_normal,relu,tensor(0.0856),0.077708899974823,0.09362335503101349
2,expansion,3,False,xavier_uniform,relu,tensor(0.0359),0.027927260845899582,0.04404501989483833
3,expansion,3,False,xavier_normal,relu,tensor(0.0705),0.06223820522427559,0.07903586328029633
4,expansion,3,False,orthogonal,relu,tensor(0.0759),0.06778275221586227,0.08401910960674286
5,expansion,30,False,kaiming_uniform,relu,tensor(0.1371),0.12903594970703125,0.14529041945934296
6,expansion,30,False,kaiming_normal,relu,tensor(0.1470),0.1393745243549347,0.15482394397258759
7,expansion,30,False,xavier_uniform,relu,tensor(0.1531),0.1458147019147873,0.16055695712566376
8,expansion,30,False,xavier_normal,relu,tensor(0.1524),0.14511357247829437,0.15943874418735504
9,expansion,30,False,orthogonal,relu,tensor(0.1499),0.14221534132957458,0.15681947767734528
10,expansion,300,False,kaiming_uniform,relu,tensor(0.1806),0.17331574857234955,0.1872566193342209
11,expansion,300,False,kaiming_normal,relu,tensor(0.1793),0.1721075028181076,0.18610025942325592
12,expansion,300,False,xavier_uniform,relu,tensor(0.1802),0.1733381301164627,0.1872555911540985
13,expansion,300,False,xavier_normal,relu,tensor(0.1804),0.17340242862701416,0.18743394315242767
14,expansion,300,False,orthogonal,relu,tensor(0.1807),0.1737891584634781,0.1873788684606552
15,expansion,3000,False,kaiming_uniform,relu,tensor(0.1870),0.18006622791290283,0.19322070479393005
16,expansion,3000,False,kaiming_normal,relu,tensor(0.1878),0.1808556318283081,0.19413313269615173
17,expansion,3000,False,xavier_uniform,relu,tensor(0.1843),0.17781326174736023,0.19038569927215576
18,expansion,3000,False,xavier_normal,relu,tensor(0.1858),0.1790742576122284,0.19213652610778809
19,expansion,3000,False,orthogonal,relu,tensor(0.1854),0.1786428838968277,0.19186702370643616
