,model,features,pcs,init_type,nl_type,score,lower,upper
0,expansion,3,1,kaiming_uniform,relu,tensor(0.0850),0.06346464157104492,0.105755515396595
1,expansion,3,10,kaiming_uniform,relu,tensor(0.2652),0.24703815579414368,0.2823866009712219
2,expansion,3,100,kaiming_uniform,relu,tensor(0.2617),0.2454473376274109,0.27894118428230286
3,expansion,3,1000,kaiming_uniform,relu,tensor(0.2777),0.25990521907806396,0.29554837942123413
4,expansion,30,1,kaiming_uniform,relu,tensor(0.0956),0.07176385074853897,0.11920395493507385
5,expansion,30,10,kaiming_uniform,relu,tensor(0.2751),0.257948637008667,0.29339826107025146
6,expansion,30,100,kaiming_uniform,relu,tensor(0.4103),0.3947739005088806,0.4248760938644409
7,expansion,30,1000,kaiming_uniform,relu,tensor(0.4436),0.429473340511322,0.45845675468444824
8,expansion,300,1,kaiming_uniform,relu,tensor(0.1001),0.07708117365837097,0.12438884377479553
9,expansion,300,10,kaiming_uniform,relu,tensor(0.2910),0.2752127945423126,0.30711978673934937
10,expansion,300,100,kaiming_uniform,relu,tensor(0.4292),0.41522687673568726,0.4435904920101166
11,expansion,300,1000,kaiming_uniform,relu,tensor(0.5017),0.48774927854537964,0.5150812268257141
12,expansion,3000,1,kaiming_uniform,relu,tensor(0.1020),0.07893991470336914,0.1260194629430771
13,expansion,3000,10,kaiming_uniform,relu,tensor(0.2669),0.24933624267578125,0.28482586145401
14,expansion,3000,100,kaiming_uniform,relu,tensor(0.4308),0.41564229130744934,0.4449489712715149
15,expansion,3000,1000,kaiming_uniform,relu,tensor(0.5135),0.500774621963501,0.5263252258300781
16,expansion,30000,1,kaiming_uniform,relu,tensor(0.1022),0.0787527933716774,0.1259843111038208
17,expansion,30000,10,kaiming_uniform,relu,tensor(0.2688),0.25095078349113464,0.28677088022232056
18,expansion,30000,100,kaiming_uniform,relu,tensor(0.4233),0.4093034565448761,0.4375731348991394
19,expansion,30000,1000,kaiming_uniform,relu,tensor(0.5125),0.49930599331855774,0.5250271558761597
