,model,features,pcs,init_type,nl_type,score,lower,upper
0,expansion,3,1,kaiming_uniform,relu,tensor(0.5631),0.40611475706100464,0.6868986487388611
1,expansion,3,10,kaiming_uniform,relu,tensor(0.5405),0.43598809838294983,0.6253783702850342
2,expansion,3,100,kaiming_uniform,relu,tensor(0.2768),0.17377662658691406,0.36779290437698364
3,expansion,3,1000,kaiming_uniform,relu,tensor(0.5359),0.3659932315349579,0.670624852180481
4,expansion,30,1,kaiming_uniform,relu,tensor(0.5598),0.40205085277557373,0.6858927607536316
5,expansion,30,10,kaiming_uniform,relu,tensor(0.5365),0.4106017053127289,0.6403061151504517
6,expansion,30,100,kaiming_uniform,relu,tensor(0.3542),0.2221958041191101,0.5153061747550964
7,expansion,30,1000,kaiming_uniform,relu,tensor(0.4989),0.3804824948310852,0.5939653515815735
8,expansion,300,1,kaiming_uniform,relu,tensor(0.5596),0.40204477310180664,0.6852865219116211
9,expansion,300,10,kaiming_uniform,relu,tensor(0.5555),0.42492419481277466,0.6617446541786194
10,expansion,300,100,kaiming_uniform,relu,tensor(0.5139),0.40616899728775024,0.6030877828598022
11,expansion,300,1000,kaiming_uniform,relu,tensor(0.4361),0.34354764223098755,0.5304903388023376
