,model,features,pcs,init_type,nl_type,score,lower,upper
0,expansion,3,1,kaiming_uniform,relu,tensor(0.0119),0.0052316198125481606,0.017936259508132935
1,expansion,3,10,kaiming_uniform,relu,tensor(0.0733),0.06379836797714233,0.08262050151824951
2,expansion,3,100,kaiming_uniform,relu,tensor(0.0568),0.050031039863824844,0.06395416706800461
3,expansion,3,1000,kaiming_uniform,relu,tensor(0.0818),0.0730711966753006,0.09063331037759781
4,expansion,30,1,kaiming_uniform,relu,tensor(0.0140),0.00769983371719718,0.02014586143195629
5,expansion,30,10,kaiming_uniform,relu,tensor(0.0857),0.07812796533107758,0.09348548948764801
6,expansion,30,100,kaiming_uniform,relu,tensor(0.1484),0.14040257036685944,0.15633191168308258
7,expansion,30,1000,kaiming_uniform,relu,tensor(0.1340),0.12632744014263153,0.1419130265712738
8,expansion,300,1,kaiming_uniform,relu,tensor(0.0093),0.0032569272443652153,0.014821495860815048
9,expansion,300,10,kaiming_uniform,relu,tensor(0.0902),0.08165551722049713,0.09943515807390213
10,expansion,300,100,kaiming_uniform,relu,tensor(0.1642),0.15674254298210144,0.1721198409795761
11,expansion,300,1000,kaiming_uniform,relu,tensor(0.1791),0.17170189321041107,0.18643461167812347
12,expansion,3000,1,kaiming_uniform,relu,tensor(0.0091),0.003349120495840907,0.014662275090813637
13,expansion,3000,10,kaiming_uniform,relu,tensor(0.0905),0.08146482706069946,0.09973007440567017
14,expansion,3000,100,kaiming_uniform,relu,tensor(0.1560),0.1484231948852539,0.16370220482349396
15,expansion,3000,1000,kaiming_uniform,relu,tensor(0.1845),0.17741748690605164,0.19215141236782074
